invoice_description,pos_name,units_per_invoice,sell_unit,supplier,verified,notes
ALFALFA - WHITE - 140G,ALFALFA/SPROUTS PER TUB,1.0,each,Freshlink,True,
APPLES - GRANNY SMITH - 12 KG CTN,APPLES GRANNY SMITH,12.0,kg,Freshlink,True,
APPLES - PINK LADY - 12 KG CTN,APPLES PINK LADY PER KG,12.0,kg,Freshlink,True,
APPLES - ROYAL GALA - 12 KG CTN,APPLES - ROYAL GALA PER KG,12.0,kg,Freshlink,True,
ASIAN VEG - BOK CHOY - BUNCHES (EACH),BOK CHOY PER BUNCH,1.0,each,Freshlink,True,
AVOCADOES - HASS X 28'S - SEMI (TRAY),AVOCADO PER EACH,28.0,each,Freshlink,True,
BANANAS - COLOUR - 15KG CTN,BANANAS PER KG,15.0,kg,Freshlink,True,
BANANAS - SEMI - 15KG - CTN,BANANAS PER KG,15.0,kg,Freshlink,True,
BEANS - HAND PICKED (KG),BEANS LOOSE PER KG,1.0,kg,Freshlink,True,
BEANSHOOTS - P/P - 350G BAG,BEAN SPROUTS 350G BAG,1.0,each,Freshlink,True,
BEANSHOOTS - TUB (EACH),BEAN SPROUTS 125GMS,1.0,each,Freshlink,True,
BEETROOT - LOOSE (KG),BEETROOT PER KG,1.0,kg,Freshlink,True,
BLACKBERRIES - PUNNET,BLACKBERRIES 125GMS,1.0,each,Freshlink,True,
BLUEBERRIES - PUNNET,BLUEBERRIES 125G,1.0,each,Freshlink,True,
BROCCOLI - LOOSE - 8KG (CTN),BROCCOLI PIECES PER KG,8.0,kg,Freshlink,True,
BROCCOLINI - 12'S (CTN),BROCCOLINI BUNCHES,12.0,each,Freshlink,True,
BROWN ONIONS P/P 1KG,ONIONS PRE PACK 1KG BROWN,1.0,each,Freshlink,True,
BRUSSEL SPROUTS P/P 250G,BRUSSEL SPROUTS 250G P/PACK,1.0,each,Freshlink,True,
BUNCH LINES - PARSLEY - CURLY (BUNCH),PARSLEY PRE PACKED,1.0,each,Freshlink,True,
BUNCH LINES - SPRING ONIONS (BUNCH),SPRING ONIONS PER BUNCH,1.0,each,Freshlink,True,
CABBAGE - CHINESE (EACH),CABBAGE CHINESE WHOLE,1.0,each,Freshlink,True,
CABBAGE - RED (EACH),CABBAGE RED QUARTER,4.0,each,Freshlink,True,
CABBAGE - WHITE (EACH),CABBAGE WHOLE,1.0,each,Freshlink,True,
CAPSICUMS - GREEN - LARGE (5KG),CAPSICUM GREEN PER KG,5.0,kg,Freshlink,True,
CARROTS - 20 X 1KG (P/P),CARROTS 1 KG,20.0,each,Freshlink,True,
CARROTS - LARGE - 20KG - CTN,CARROTS LOOSE PER KG,20.0,kg,Freshlink,True,
CAULIFLOWERS - EACH,CAULIFLOWER PER EACH,1.0,each,Freshlink,True,
CELERY - 8'S (CTN),CELERY LARGE,8.0,each,Freshlink,True,
CELERY - P/P - 300G,CELERY PIECES 300GMS,1.0,each,Freshlink,True,
CHILLIES - LONG GREEN (KG),CHILLIES PER KG,1.0,kg,Freshlink,True,
CUCUMBERS - BABY LEBANESE - 250G (PACKETS),CUCUMBER BABY LEBANESE P/PACK 250GMS,1.0,each,Freshlink,True,
CUCUMBERS - BABY LEBANESE - 750G BAG,CUCUMBER LEBANESE PER KG,0.75,kg,Freshlink,True,
