Name,elasticity_corr,avg_price,n_weeks,is_price_sensitive,item_avg_sell_price
BLACKBERRIES 125GMS,-0.9051,8.908390573620753,14,1,8.9084
APPLES - KANZI PER KG,-0.8471,5.6277979690280295,13,1,5.6278
MANGOES PER EACH,-0.8325,4.959310418089971,41,1,4.9593
APPLES JONATHON PER KG,-0.8292,5.395777007276682,18,1,5.3958
BLUEBERRIES 125G,-0.8181,6.682425979592845,54,1,6.6824
SWEETCORN PER EACH,-0.811,2.33425,16,1,2.3342
GRAPES DARK PER KG,-0.8026,8.42599074148009,51,1,8.426
GRAPES BLACK SEEDLESS PER KG,-0.7939,9.748310899399211,34,1,9.7483
STRAWBERRIES PER PUNNET,-0.7034,6.423955552923353,64,1,6.424
CUCUMBER - CURLY 750G PACK,-0.6915,8.422647058823529,10,1,8.4226
SOUP VEG PACK 1KG,-0.69,6.650852326685659,27,1,6.6509
BOWLSOME ASIAN CHICKEN SLAW 290G,-0.6747,10.2875,13,1,10.2875
APPLES - BRAVO PER KG,-0.6707,6.07204219879577,13,1,6.072
KIWI FRUIT 600GM P/PACK,-0.6698,10.106817719881745,41,1,10.1068
APPLES - GOLDEN DELICIOUS PER KG,-0.665,4.671409831004231,19,1,4.6714
ROCKMELON PER KG,-0.6499,4.550014355218637,64,1,4.55
CUCUMBER BABY LEBANESE P/PACK 250GMS,-0.6482,4.372740046901246,64,1,4.3727
GRAPES GREEN PER KG,-0.6352,9.645492607879104,48,1,9.6455
TOMATOES - MIX A MATO 200G,-0.6351,4.401057362528345,32,1,4.4011
RASPBERRIES 125GMS,-0.6326,8.610972440369137,47,1,8.611
TOMATOES - CHERRY PUNNET 250G,-0.6243,4.06052508919214,64,1,4.0605
PEACHES YELLOW/WHITE PER KG,-0.6192,7.842891636387136,34,1,7.8429
MUSHROOMS SWISS PER KG,-0.6141,21.72066725572593,23,1,21.7207
LETTUCE FANCY EACH,-0.6059,3.1413394079039243,62,1,3.1413
TOMATOES TRUSS LOOSE PER KG,-0.5999,9.64222152347971,64,1,9.6422
PARSNIPS PRE PACK TRAY,-0.5885,5.794517195767195,63,1,5.7945
