PLU,Name
105,APPLES GRANNY SMITH
106,APPLES - BRAVO PER KG
107,APPLES JAZZ PER KG
113,APPLES SUNDOWNER
119,APPLES JONATHON PER KG
124,APPLES PINK LADY PER KG
130,APPLES RED DELICIOUS PER KG
138,APPLES - KANZI PER KG
142,APPLES - ROYAL GALA PER KG
144,APPLES - GRANNY SMITH PRE PACK 1KG
160,APPLES - FUJI PER KG
172,PEAR PRE PACK 1 KG
184,PEAR GREEN PER KG
191,APPLES - GOLDEN DELICIOUS PER KG
207,PLUMS PER KG
219,CHERRIES DARK PER KG
222,APRICOTS
226,PEACHES YELLOW/WHITE PER KG
227,PEAR NASHI PER KG
230,NECTARINES YELLOW
231,NECTARINES WHITE
236,PASSIONFRUIT
237,KIWI FRUIT        PER EACH
241,GINGER PER KG
245,PINEAPPLE WHOLE EACH
260,MANGOES PER EACH
272,ORANGES NET BAG 3KG
276,ORANGES MEDIUM PER KG
278,MANDARINS 1KG NET BAG
282,MANDARINES  PER KG
288,LEMONS - MEDIUM PER KG
290,LIMES PER KG
296,GRAPEFRUIT YELLOW PER KG
299,POMEGRANATE EACH
312,LOOSE BABY SPINACH
360,AVOCADO  PER EACH
389,GRAPES DARK PER KG
390,GRAPES GREEN PER KG
400,LETTUCE           PER EACH
401,LETTUCE FANCY EACH
406,CABBAGE QUARTER
409,CAPSICUM GREEN PER KG
415,CAPSICUMS RED PER KG
416,CHILLIES PER KG
420,TOMATOES 1ST SEMI PER KG
423,TOMATOES TRUSS LOOSE PER KG
431,TOMATOES - PRE-PACK 1KG
432,TOMATOES -  CHERRY PUNNET 250G
433,TOMATOES - MINI ROMA PER KG
438,TOFFEE APPLE
441,CELERY LARGE
445,CELERY HALF
446,CELERY LOOSE PIECES PER KG
450,CAULIFLOWER       PER EACH
451,CAULIFLOWER HALF
453,BROCCOLI PIECES PER KG
456,EGGPLANT PER KG
460,CARROTS               1 KG
469,TOMATOES ROMA PER KG
470,CARROTS LOOSE PER KG
472,CAPSICUM YELLOW PER KG
475,PARSNIPS LOOSE      PER KG
477,PEAR BEURRE BOSCH PER KG
480,SWEDES LOOSE        PER KG
481,TUMERIC PER KG
484,BEETROOT PER KG
485,BEETROOT         PER BUNCH
490,TURNIPS LOOSE       PER KG
498,CABBAGE RED QUARTER
500,CABBAGE WHOLE
501,CABBAGE HALF
504,CABBAGE CHINESE HALF
507,BRUSSEL SPROUTS PER KG
511,SWEETCORN PER EACH
515,MUSHROOMS LOOSE PER KG
520,ZUCCHINI LOOSE PER KG
523,MUSHROOMS SWISS PER KG
525,BEANS LOOSE PER KG
529,CUCUMBER CONTINENTAL
541,GRAPEFRUIT - RUBY PER KG
542,CUCUMBER LEBANESE PER KG
550,BANANAS PER KG
553,BANANAS RIPE PER KG
566,CABBAGE - RED HALF EACH
572,SHALLOTS
575,SPRING ONIONS    PER BUNCH
585,LEEKS EACH PER STICK
592,LEEKS - PER BUNCH
599,POTATOES SWEET PER KG
611,POTATOES -  WASHED 2.5KG BAG
