Date,Store Name,Department Name,Department Sort,APN,Name,Sub Department Name,Sales Inc GST,Cost Ex GST,Cost Inc GST,GP %,Lines,GP $,Quantity,Sales Ex GST,Store Sales Ex,Store Sales Inc,year,DayOfWeek,Week,GP_pct_num,is_loose,cycle_start,baseline_gp,gp_gap,is_special,is_markdown
2025-01-02,Foodland Wudinna,FRUIT & VEG,5,9369999052256.0,SWEET CORN PRE PACK 500GMS,Vegetables,5.99,3.5,3.5,41.57,1,2.49,1.0,5.99,5.99,5.99,2025,Thursday,1,41.57,False,2025-01-01,39.92,1.6499999999999986,0,0
2025-01-02,Foodland Wudinna,FRUIT & VEG,5,93536240.0,BLUEBERRIES 125G,Fruit,119.7,109.5,109.5,8.52,30,10.2,30.0,119.7,119.7,119.7,2025,Thursday,1,8.52,False,2025-01-01,38.53,-30.01,0,1
2025-01-02,Foodland Wudinna,FRUIT & VEG,5,9339562011836.0,LK POTATO SALAD 800G,Salads,23.97,15.3,15.3,36.17,3,8.67,3.0,23.97,23.97,23.97,2025,Thursday,1,36.17,False,2025-01-01,36.17,0.0,0,0
2025-01-02,Foodland Wudinna,FRUIT & VEG,5,9339562011843.0,LK COLESLAW SALAD 800G,Salads,15.98,10.2,10.2,36.17,2,5.78,2.0,15.98,15.98,15.98,2025,Thursday,1,36.17,False,2025-01-01,36.17,0.0,0,0
2025-01-02,Foodland Wudinna,FRUIT & VEG,5,9340187000037.0,CUCUMBER BABY LEBANESE P/PACK 250GMS,Vegetables,39.9,28.5,28.5,28.57,10,11.4,10.0,39.9,39.9,39.9,2025,Thursday,1,28.57,False,2025-01-01,40.525,-11.954999999999998,0,0
2025-01-02,Foodland Wudinna,FRUIT & VEG,5,9320409000014.0,BEAN SPROUTS 125GMS,Vegetables,12.0,7.5,7.5,37.5,3,4.5,3.0,12.0,12.0,12.0,2025,Thursday,1,37.5,False,2025-01-01,37.5,0.0,0,0
2025-01-02,Foodland Wudinna,FRUIT & VEG,5,9320409000465.0,"BEAN SPROUTS
350G BAG",Vegetables,4.29,2.5,2.5,41.72,1,1.79,1.0,4.29,4.29,4.29,2025,Thursday,1,41.72,False,2025-01-01,41.72,0.0,0,0
2025-01-02,Foodland Wudinna,FRUIT & VEG,5,9321942001186.0,P/PICK PINK LADY APPLES1.5KG,Fruit,3.9,2.8,2.8,28.21,1,1.1,1.0,3.9,3.9,3.9,2025,Thursday,1,28.21,False,2025-01-01,28.21,0.0,0,0
2025-01-02,Foodland Wudinna,FRUIT & VEG,5,9323150000203.0,SNOW PEAS PRE PACK 150G,Vegetables,53.91,45.0,45.0,16.53,9,8.91,9.0,53.91,53.91,53.91,2025,Thursday,1,16.53,False,2025-01-01,37.42,-20.89,0,1
2025-01-02,Foodland Wudinna,FRUIT & VEG,5,9330719000659.0,HI FRESH COLESLAW 5OOGMS,Salads,3.7,2.75,2.75,25.68,1,0.95,1.0,3.7,3.7,3.7,2025,Thursday,1,25.68,False,2025-01-01,22.494999999999997,3.1850000000000023,0,0
2025-01-02,Foodland Wudinna,FRUIT & VEG,5,9340187000082.0,TOMATOES - MINI ROMA 200GM PUNNET,Fruit,17.16,10.0,10.0,41.72,4,7.16,4.0,17.16,17.16,17.16,2025,Thursday,1,41.72,False,2025-01-01,39.85,1.8699999999999974,0,0
