Date,Name,SubDept,Department,Revenue,Cost,GP,Qty,Year,Week,Month,DOW
2026-03-05,ALFALFA/SPROUTS PER TUB,Vegetables,FRUIT & VEG,2.99,1.8,1.1900000000000002,1.0,2026,2026-03-02,2026-03-01,Thursday
2026-03-10,ALFALFA/SPROUTS PER TUB,Vegetables,FRUIT & VEG,2.99,1.8,1.1900000000000002,1.0,2026,2026-03-09,2026-03-01,Tuesday
2026-03-14,ALFALFA/SPROUTS PER TUB,Vegetables,FRUIT & VEG,5.98,3.6,2.3800000000000003,2.0,2026,2026-03-09,2026-03-01,Saturday
2026-03-23,ALFALFA/SPROUTS PER TUB,Vegetables,FRUIT & VEG,5.98,3.6,2.3800000000000003,2.0,2026,2026-03-23,2026-03-01,Monday
2026-03-24,ALFALFA/SPROUTS PER TUB,Vegetables,FRUIT & VEG,2.99,1.8,1.1900000000000002,1.0,2026,2026-03-23,2026-03-01,Tuesday
2026-03-31,ALFALFA/SPROUTS PER TUB,Vegetables,FRUIT & VEG,5.98,3.6,2.3800000000000003,2.0,2026,2026-03-30,2026-03-01,Tuesday
2026-04-02,ALFALFA/SPROUTS PER TUB,Vegetables,FRUIT & VEG,2.99,1.8,1.1900000000000002,1.0,2026,2026-03-30,2026-04-01,Thursday
2026-04-11,ALFALFA/SPROUTS PER TUB,Vegetables,FRUIT & VEG,2.99,1.8,1.1900000000000002,1.0,2026,2026-04-06,2026-04-01,Saturday
2026-04-15,ALFALFA/SPROUTS PER TUB,Vegetables,FRUIT & VEG,2.99,1.8,1.1900000000000002,1.0,2026,2026-04-13,2026-04-01,Wednesday
2026-04-20,ALFALFA/SPROUTS PER TUB,Vegetables,FRUIT & VEG,2.99,1.8,1.1900000000000002,1.0,2026,2026-04-20,2026-04-01,Monday
2026-04-21,ALFALFA/SPROUTS PER TUB,Vegetables,FRUIT & VEG,2.99,1.8,1.1900000000000002,1.0,2026,2026-04-20,2026-04-01,Tuesday
2026-04-24,ALFALFA/SPROUTS PER TUB,Vegetables,FRUIT & VEG,2.99,1.8,1.1900000000000002,1.0,2026,2026-04-20,2026-04-01,Friday
2026-05-01,ALFALFA/SPROUTS PER TUB,Vegetables,FRUIT & VEG,2.99,1.8,1.1900000000000002,1.0,2026,2026-04-27,2026-05-01,Friday
2026-05-06,ALFALFA/SPROUTS PER TUB,Vegetables,FRUIT & VEG,2.99,1.8,1.1900000000000002,1.0,2026,2026-05-04,2026-05-01,Wednesday
2026-05-09,ALFALFA/SPROUTS PER TUB,Vegetables,FRUIT & VEG,2.99,1.8,1.1900000000000002,1.0,2026,2026-05-04,2026-05-01,Saturday
2026-05-11,ALFALFA/SPROUTS PER TUB,Vegetables,FRUIT & VEG,2.99,1.8,1.1900000000000002,1.0,2026,2026-05-11,2026-05-01,Monday
2026-05-12,ALFALFA/SPROUTS PER TUB,Vegetables,FRUIT & VEG,2.69,1.8,0.8899999999999999,1.0,2026,2026-05-11,2026-05-01,Tuesday
2026-05-12,APPLES - BRAVO PER KG,Fruit,FRUIT & VEG,9.77,6.4308,3.3392,1.398,2026,2026-05-11,2026-05-01,Tuesday
2026-05-13,APPLES - BRAVO PER KG,Fruit,FRUIT & VEG,9.39,7.3232,2.0668000000000006,1.592,2026,2026-05-11,2026-05-01,Wednesday
2026-05-14,APPLES - BRAVO PER KG,Fruit,FRUIT & VEG,21.43,16.7026,4.727399999999999,3.631,2026,2026-05-11,2026-05-01,Thursday
2026-03-20,APPLES - FUJI PER KG,Fruit,FRUIT & VEG,7.19,4.804,2.386,1.201,2026,2026-03-16,2026-03-01,Friday
